screen_id,article_id,screen_or_panel,state_to_capture,annotation_focus,audience,platform,status
D11,H14,Pickup sheet,confirmation failed,Retained action and retry,public,web-mobile,planned
D12,H14,Waiting,deadline reached,Wait extension versus no-show,public,web-mobile,planned
D13,H14,Seats,full and reserved-pickup cases,Capacity labels and valid boarding,public,web-mobile,planned
D14,H14,Unexpected stop,controlled fixture,Reason and resume path,public,web-mobile,planned
D15,H15,Drop-off,correct passenger at stop,Confirm then server acknowledgement,public,web-mobile,planned
D16,H15,Session complete,all passengers dropped,Gross fees net settlement and exit,public,web-mobile,planned
D17,H20,Driver dashboard,fixture history,Period and metric meanings,public,web-mobile,planned
D18,H17,Driver history,expanded session,Completed passenger rides and gross fares,public,web-mobile,captured
M01,H16,Wallet,balance summary,Available held and pending amounts,public,web-mobile,planned
M02,H16,Top up,amount selection,Amount and next step,public,web-mobile,planned
M03,H16,Checkout,test payment,Return success failure and cancellation,public,web-mobile,planned
M04,H16,Transactions,pending and completed,Settlement evidence,public,web-mobile,planned
M05,H16,Withdrawal,eligible and blocked,Limits schedule cooling and next action,public,web-mobile,planned
M06,H17,History,completed and cancelled,Status date and amount,public,web-mobile,planned
M07,H17,History detail,receipt,Route and agreed fare,public,web-mobile,planned
M08,H17,Referral,synthetic code,Share versus reward eligibility,public,web-mobile,planned
